match_id,team_name,player_name,K,hs,A,f,D,KAST,KD_diff,ADR,fk_dif,rating
74975, up north, tyfoon, 7, 3, 0, 0, 16, 58.8, -9, 46.2, -3, 0.53
74975, up north, OCEAN, 6, 4, 2, 0, 17, 47.1, -11, 46.6, -1, 0.46
74975, up north, els, 6, 1, 2, 0, 17, 70.6, -11, 47.1, -5, 0.45
74975, Farmers, rugrat, 22, 3, 3, 0, 6, 100.0, +16, 117.4, +2, 2.03
74975, Farmers, fisher, 21, 9, 5, 0, 11, 94.1, +10, 131.3, +5, 1.93
74975, Farmers, c4lypso, 19, 7, 3, 0, 6, 100.0, +13, 112.9, +1, 1.88
74975, Farmers, Skelly, 12, 5, 4, 1, 6, 94.1, +6, 69.6, +1, 1.33
74975, Farmers, Ange, 8, 2, 5, 0, 10, 88.2, -2, 53.9, -2, 0.96
74976, up north, SEMPHIS, 28, 14, 5, 3, 17, 79.3, +11, 89.6, +4, 1.48
74976, up north, OCEAN, 22, 7, 5, 0, 13, 69.0, +9, 78.0, 0, 1.30
74976, up north, tyfoon, 20, 9, 5, 1, 23, 72.4, -3, 84.3, +3, 1.10
74976, up north, DAVEY, 17, 8, 7, 1, 19, 69.0, -2, 80.7, -1, 0.99
74976, up north, els, 18, 8, 3, 2, 17, 75.9, +1, 61.0, -5, 0.99
74976, Farmers, Skelly, 22, 11, 3, 2, 22, 65.5, 0, 82.0, +3, 1.08
74976, Farmers, Ange, 20, 12, 4, 2, 21, 72.4, -1, 76.4, +2, 1.04
74976, Farmers, rugrat, 17, 5, 3, 1, 20, 62.1, -3, 63.0, 0, 0.93
74976, Farmers, c4lypso, 15, 10, 4, 0, 21, 69.0, -6, 55.5, -4, 0.85
74976, Farmers, fisher, 15, 7, 3, 0, 21, 55.2, -6, 63.3, -2, 0.78
74977, up north, SEMPHIS, 29, 8, 4, 2, 26, 80.0, +3, 80.3, 0, 1.13
74977, up north, DAVEY, 26, 9, 5, 1, 25, 71.4, +1, 85.7, -4, 1.06
74977, up north, OCEAN, 22, 9, 5, 1, 22, 77.1, 0, 67.6, +1, 1.05
74977, up north, tyfoon, 22, 12, 7, 0, 29, 51.4, -7, 84.3, -2, 0.90
74977, up north, els, 20, 11, 3, 1, 25, 57.1, -5, 60.9, -3, 0.77
74977, Farmers, c4lypso, 31, 19, 3, 2, 25, 71.4, +6, 90.3, +7, 1.36
74977, Farmers, rugrat, 31, 8, 4, 1, 25, 62.9, +6, 95.5, +3, 1.25
74977, Farmers, fisher, 23, 12, 12, 1, 23, 77.1, 0, 84.4, +1, 1.20
74977, Farmers, Ange, 28, 20, 4, 1, 25, 65.7, +3, 74.2, -1, 1.03
74977, Farmers, Skelly, 14, 9, 5, 2, 22, 65.7, -8, 54.6, -3, 0.74
74970, AVANGAR, Jame, 15, 4, 2, 0, 14, 72.2, +1, 81.2, +1, 1.07
74970, AVANGAR, buster, 9, 3, 1, 0, 14, 44.4, -5, 30.6, -1, 0.56
74970, AVANGAR, KrizzeN, 6, 5, 3, 0, 17, 55.6, -11, 53.3, -1, 0.46
74970, AVANGAR, fitch, 5, 4, 5, 1, 18, 55.6, -13, 57.8, -2, 0.38
74970, AVANGAR, qikert, 3, 1, 2, 1, 16, 33.3, -13, 44.9, -3, 0.25
74970, Imperial, nukkye, 19, 9, 1, 0, 4, 88.9, +15, 106.5, 0, 1.85
74970, Imperial, hAdji, 18, 6, 1, 0, 7, 83.3, +11, 98.6, +1, 1.75
74970, Imperial, EspiranTo, 16, 13, 1, 0, 8, 83.3, +8, 91.5, +4, 1.74
74970, Imperial, pounh, 13, 7, 2, 1, 8, 83.3, +5, 78.6, +1, 1.41
74970, Imperial, nexa, 13, 6, 3, 1, 11, 83.3, +2, 68.6, 0, 1.22
74972, AVANGAR, Jame, 27, 6, 0, 0, 13, 82.1, +14, 76.5, +5, 1.47
74972, AVANGAR, buster, 25, 8, 3, 0, 19, 71.4, +6, 85.0, +2, 1.32
74972, AVANGAR, qikert, 22, 6, 5, 0, 18, 71.4, +4, 82.5, -2, 1.13
74972, AVANGAR, KrizzeN, 14, 7, 10, 1, 20, 67.9, -6, 73.9, 0, 0.90
74972, AVANGAR, fitch, 13, 6, 7, 1, 18, 71.4, -5, 67.7, -1, 0.87
74972, Imperial, nexa, 20, 13, 7, 2, 17, 75.0, +3, 76.8, 0, 1.15
74972, Imperial, EspiranTo, 18, 11, 6, 0, 21, 64.3, -3, 79.0, -2, 1.01
74972, Imperial, nukkye, 15, 4, 4, 0, 19, 64.3, -4, 69.1, -1, 0.90
74972, Imperial, hAdji, 18, 4, 4, 1, 20, 60.7, -2, 56.4, 0, 0.83
74972, Imperial, pounh, 17, 7, 7, 0, 24, 53.6, -7, 73.5, -1, 0.82
74974, AVANGAR, Jame, 24, 4, 7, 3, 15, 73.3, +9, 91.3, +3, 1.47
