match_id, team_name, player_name, kills, assists, flash_assists, deaths, kd_ratio, kd_diff, adr, fk_dif, rating
77545, Renegades, liazz, 14, 3, 1, 20, 0.591, -6, 78.5, -6, 0.81
77545, Renegades, jks, 13, 2, 0, 17, 0.545, -4, 74.7, -4, 0.79
77545, Renegades, Gratisfaction, 10, 2, 1, 18, 0.455, -8, 64.1, -8, 0.68
77545, Renegades, jkaem, 10, 1, 0, 21, 0.455, -11, 49.8, -11, 0.68
77545, Renegades, AZR, 10, 0, 0, 22, 0.409, -12, 45.6, -12, 0.43
77544, eUnited, dazzLe, 18, 6, 0, 12, 0.889, 6, 117.6, 6, 1.86
77544, eUnited, Relyks, 18, 3, 1, 9, 0.833, 9, 82.8, 9, 1.55
77544, eUnited, FNS, 15, 3, 1, 10, 0.889, 5, 67.7, 5, 1.32
77544, eUnited, dapr, 12, 4, 2, 9, 0.833, 3, 72.6, 3, 1.31
77544, eUnited, moose, 12, 5, 1, 13, 0.667, -1, 90.3, -1, 1.16
77544, Luminosity, steel, 12, 5, 1, 15, 0.722, -3, 88.8, -3, 0.98
77544, Luminosity, NEKIZ, 14, 2, 0, 14, 0.778, 0, 80.8, 0, 0.96
77544, Luminosity, LUCAS1, 9, 3, 1, 16, 0.611, -7, 72.6, -7, 0.74
77544, Luminosity, yeL, 12, 0, 0, 16, 0.611, -4, 75.9, -4, 0.73
77544, Luminosity, HEN1, 6, 1, 1, 14, 0.5, -8, 35.4, -8, 0.43
77543, compLexity, stanislaw, 15, 1, 0, 18, 0.619, -3, 87.8, -3, 1.00
77543, compLexity, yay, 12, 0, 0, 20, 0.429, -8, 59.4, -8, 0.63
77543, compLexity, ANDROID, 7, 2, 0, 18, 0.476, -11, 42.2, -11, 0.54
77543, compLexity, dephh, 7, 1, 0, 18, 0.429, -11, 51.5, -11, 0.51
77543, compLexity, ShahZaM, 6, 0, 0, 19, 0.381, -13, 25.4, -13, 0.31
77543, MIBR, Stewie2K, 22, 3, 0, 7, 0.905, 15, 110.7, 15, 1.73
77543, MIBR, coldzera, 22, 3, 0, 9, 0.857, 13, 107.7, 13, 1.67
77543, MIBR, FalleN, 19, 3, 2, 9, 0.81, 10, 85.4, 10, 1.47
